tool,rep,filter,bits,hits,seconds,addr_per_sec,gpu_watts,cpu_watts
honion,59,hon2on,30,1064,90,1.269401e+10,590.6,109.8
prefix32,59,hon2on,30,901,90,1.074935e+10,592.3,86.3
mkp224o,60,hon2o,25,723,90,2.695539e+08,140.2,339.1
honion,60,hon2on,30,1078,90,1.286104e+10,589.4,109.8
prefix32,60,hon2on,30,883,90,1.053460e+10,590.4,86.2
mkp224o,61,hon2o,25,684,90,2.550137e+08,139.8,339.2
honion,61,hon2on,30,1057,90,1.261050e+10,591.0,110.1
prefix32,61,hon2on,30,888,90,1.059425e+10,591.0,86.1
mkp224o,62,hon2o,25,696,90,2.594876e+08,140.1,338.3
honion,62,hon2on,30,1072,90,1.278946e+10,588.9,110.6
prefix32,62,hon2on,30,881,90,1.051074e+10,592.0,86.9
mkp224o,63,hon2o,25,708,90,2.639615e+08,140.3,338.5
honion,63,hon2on,30,1059,90,1.263436e+10,588.3,110.8
prefix32,63,hon2on,30,888,90,1.059425e+10,590.5,87.5
mkp224o,64,hon2o,25,725,90,2.702996e+08,140.0,338.8
honion,64,hon2on,30,1039,90,1.239575e+10,591.9,117.5
prefix32,64,hon2on,30,857,90,1.022441e+10,591.9,97.3
mkp224o,65,hon2o,25,672,90,2.505398e+08,139.8,337.4
